MeterId,StartDate,EndDate,Value (kWh),Notes
10443720008495100,12/1/18 0:00,12/1/18 1:00,2.097,
10443720008495100,12/1/18 1:00,12/1/18 2:00,1.041,
10443720008495100,12/1/18 2:00,12/1/18 3:00,1.036,
10443720008495100,12/1/18 3:00,12/1/18 4:00,1.038,
10443720008495100,12/1/18 4:00,12/1/18 5:00,1.027,
10443720008495100,12/1/18 5:00,12/1/18 6:00,1.096,
10443720008495100,12/1/18 6:00,12/1/18 7:00,1.234,
10443720008495100,12/1/18 7:00,12/1/18 8:00,3.072,
10443720008495100,12/1/18 8:00,12/1/18 9:00,2.85,
10443720008495100,12/1/18 9:00,12/1/18 10:00,2.842,
10443720008495100,12/1/18 10:00,12/1/18 11:00,2.841,
10443720008495100,12/1/18 11:00,12/1/18 12:00,2.788,
10443720008495100,12/1/18 12:00,12/1/18 13:00,2.777,
10443720008495100,12/1/18 13:00,12/1/18 14:00,2.765,
10443720008495100,12/1/18 14:00,12/1/18 15:00,2.82,
10443720008495100,12/1/18 15:00,12/1/18 16:00,2.851,
10443720008495100,12/1/18 16:00,12/1/18 17:00,3.143,
10443720008495100,12/1/18 17:00,12/1/18 18:00,3.203,
10443720008495100,12/1/18 18:00,12/1/18 19:00,3.241,
10443720008495100,12/1/18 19:00,12/1/18 20:00,3.198,
10443720008495100,12/1/18 20:00,12/1/18 21:00,3.282,
10443720008495100,12/1/18 21:00,12/1/18 22:00,3.264,
10443720008495100,12/1/18 22:00,12/1/18 23:00,3.174,
10443720008495100,12/1/18 23:00,12/2/18 0:00,3.196,
10443720008495100,12/2/18 0:00,12/2/18 1:00,1.025,
10443720008495100,12/2/18 1:00,12/2/18 2:00,1.029,
10443720008495100,12/2/18 2:00,12/2/18 3:00,1.025,
10443720008495100,12/2/18 3:00,12/2/18 4:00,1.257,
10443720008495100,12/2/18 4:00,12/2/18 5:00,1.015,
10443720008495100,12/2/18 5:00,12/2/18 6:00,1.032,
10443720008495100,12/2/18 6:00,12/2/18 7:00,1.053,
10443720008495100,12/2/18 7:00,12/2/18 8:00,3.317,
10443720008495100,12/2/18 8:00,12/2/18 9:00,2.861,
10443720008495100,12/2/18 9:00,12/2/18 10:00,2.84,
10443720008495100,12/2/18 10:00,12/2/18 11:00,2.85,
10443720008495100,12/2/18 11:00,12/2/18 12:00,2.906,
10443720008495100,12/2/18 12:00,12/2/18 13:00,2.879,
10443720008495100,12/2/18 13:00,12/2/18 14:00,2.796,
10443720008495100,12/2/18 14:00,12/2/18 15:00,2.801,
10443720008495100,12/2/18 15:00,12/2/18 16:00,2.799,
10443720008495100,12/2/18 16:00,12/2/18 17:00,3.184,
10443720008495100,12/2/18 17:00,12/2/18 18:00,3.306,
10443720008495100,12/2/18 18:00,12/2/18 19:00,3.424,
10443720008495100,12/2/18 19:00,12/2/18 20:00,3.497,
10443720008495100,12/2/18 20:00,12/2/18 21:00,3.427,
10443720008495100,12/2/18 21:00,12/2/18 22:00,3.305,
10443720008495100,12/2/18 22:00,12/2/18 23:00,3.369,
10443720008495100,12/2/18 23:00,12/3/18 0:00,3.678,
10443720008495100,12/3/18 0:00,12/3/18 1:00,1.163,
10443720008495100,12/3/18 1:00,12/3/18 2:00,1.073,
10443720008495100,12/3/18 2:00,12/3/18 3:00,1.421,
10443720008495100,12/3/18 3:00,12/3/18 4:00,1.236,
10443720008495100,12/3/18 4:00,12/3/18 5:00,1.016,
10443720008495100,12/3/18 5:00,12/3/18 6:00,1.318,
10443720008495100,12/3/18 6:00,12/3/18 7:00,1.414,
10443720008495100,12/3/18 7:00,12/3/18 8:00,3.705,
10443720008495100,12/3/18 8:00,12/3/18 9:00,3.103,
10443720008495100,12/3/18 9:00,12/3/18 10:00,3.271,
10443720008495100,12/3/18 10:00,12/3/18 11:00,3.113,
10443720008495100,12/3/18 11:00,12/3/18 12:00,2.98,
10443720008495100,12/3/18 12:00,12/3/18 13:00,2.841,
